title,property_number,property_price,additional_cost,debt,built_year,size,rooms,bathrooms,bedrooms,shared_entrance,parking,elevator,laus_strax,price,price_per_sqm,property_type,property_address,latitude,longitude,description,url
Borgartún 27,F2261552,3.052.450.000 kr.,4.021.290.000 kr.,0 kr.,Byggt 2003,240 m²,4 herb.,4 baðherb.,,Sameiginl. inngangur,Bílastæði,,,Tilboð,,atvinnuhúsnæði,105 Reykjavík,64.14669958,-21.89808519,"Tröð og Leigulistinn s. 511-2900 kynna skrifstofuhúsnæði til leigu í Borgartúni: Fyrsta flokks 240m² skrifstofuhúsnæði á 3. hæð í lyftuhúsi við Borgartún í Reykjavík. Húsnæðið er með niðurteknum loftum með innfelldri lýsingu. Lagnastokkar með útveggjum. Húsnæðið skiptist í móttöku, stórt opið vinnurými , 4  lokuð skrifstofuherbergi, kaffiaðstaða, snyrtingar og sér geymsla.  Húsnæðið er svansvottað. Í húsinu er hægt að fá hina ýmsu þjónustu s.s. símsvörun í anddyri,  mötuneyti á estu hæð, en þar er jafnframt fyrirlestarsalur og minni fundarherbergi.  Af efstu hæðinni er vægast sagt frábært útsýni yfir borgina. Á jarðhæð er möguleiki að fá leigð misstór fundarherbergi og kennslustofu. Í kjallar er síðan lokuð bílageymsla, auk þess er þar starfsmannaaðstaða með sturtum og búningsaðstöðu fyrir þá sem koma hjólandi, eða vilja fara út að skokka í hádeginu. Allt til alls, sjón er sögu ríkar.   Áhugasamir hafið samband við sölumenn okkar í s. 511-2900.  trod.is ...........slóðin að réttu eignni.",https://fasteignir.visir.is/property/629593
Amtmannsstígur 1,F2004324,0 kr.,0 kr.,0 kr.,,393 m²,0 herb.,,,,,,,Tilboð,,atvinnuhúsnæði,101 Reykjavík,,,"Atvinnueign kynnir:  um 393 fm veitinga- og skrifstofuhúsnæði á flottum stað að Amtmannsstíg 1, 101 Reykjavík.  Nánari lýsing : Húsnæðið skiptist í um 256 fm veitingahús sem er á tveimur hæðum, eldhús með tækjabúnaði og útblæstri, snyrtingar og 62 fm geymslu. Möguleiki er á góðu útisvæði við húsið. Í turni sem er áfastur húsinu er um 75 fm skrifstofuhúsnæði á tveimur hæðum með sér inngangi.Á 2. hæð eru tvö rými, skrifstofa og móttaka eða fundarherbergi. Á 3. hæðinni er skrifstofa, salerni og rými undir súð sem hægt er að nýta með ýmsum hætti s.s. setustofu/kaffistofu. Húsnæðinu fylgja tvö sérmerkt bílastæði. Laust strax .  Allar nánari upplýsingar veita:  Ólafur Ingi Guðmundsson,  löggiltur fasteignasali og leigumiðlari í síma  847 7700 eða   olafur@atvinnueign.is Halldór Már Sverrisson , löggiltur fasteignasali, í síma  898 5599  eða  halldor@atvinnueign.is Á vefsíðu okkar getur þú fundið fleiri eignir sem og kynnt þér þjónustu Atvinnueigna ehf,  www.atvinnueign.is                     - Atvinnueignir eru okkar fag -",https://fasteignir.visir.is/property/564135
Brúarfljót 7L,,0 kr.,0 kr.,0 kr.,Byggt 2022,158 m²,0 herb.,,,,,,,350.000 kr.,2.215                                            þ.kr./m,atvinnuhúsnæði,270 Mosfellsbær,,,"Jöfur atvinnuhúsnæði   s. 534-1020   kynnir:  Til leigu nýlegt og vandað 158 m² lager-/ iðnaðarhúsnæði við Brúarfljót 7L í Mosfellsbæ.  Laust með skömmum fyrirvara. Nánari lýsing: Skiptist upp í opinn vinnusal, kaffiaðstöðu ásamt Wc á jarðhæð. Epoxyefni er á gólfi sem í er gólfhiti. Stærð jarðhæðar er um 108 m².  Ósamþykkt ca. 50 m² millilofti hefur verið komið fyrir og er hringstigi til staðar. Heildarfermetrafjöldi er því um 158. Hæð á innkeyrsluhurð er um 4,2 m. Tvær gönguhurðir er til staðar, annarsvegar að framanverðu og hins vegar bakatil. 3ja fasa rafmagn er aðgengilegt. Lofthæð er mikil að hluta. Niðurfall er í gólfi. Eignahlutanum fylgir 89,5 m² sérafnotaflötur framan við sem nemur breidd rýmisins. Lóð hússins er afgirt með rafdrifnu hliði.  VSK leggst við leigufjárhæðina. Nánari upplýsingar veitir Helgi Már Karlsson löggiltur fasteignasali í síma 897 7086 tölvupóstur hmk@jofur.is Hafðu beint samband við starfsmenn Jöfurs: Bergsveinn Ólafsson  löggiltur fasteignasali - 863-5868 Helgi Már Karlsson  löggiltur fasteignasali - 897-7086 Ólafur Jóhannsson  löggiltur fasteignasali - 824-6703 Magnús Kristinsson  löggiltur fasteignasali - 861-0511 Kynntu þér fleiri eignir og þjónustu Jöfurs atvinnuhúsnæðis á  www.jofur.is",https://fasteignir.visir.is/property/630346
Ármúli 42,,0 kr.,0 kr.,0 kr.,,160 m²,0 herb.,,,,,Lyfta,,Tilboð,,atvinnuhúsnæði,108 Reykjavík,64.13333936,-21.87476959,"Jöfur atvinnuhúsnæði   s. 534-1020   kynnir:  Til leigu 160 m² lager- og iðnaðarhúsnæði á jarðhæð með tveimur innkeyrsludyrum við Ármúla 42 í Reykjavík. Laust STRAX. Við leigufjárhæð bætist virðisaukaskattur. Hafðu samband við Axel Ólafsson í síma 661-2507, axel@jofur.is eða Ólaf Jóhannsson, löggiltan fasteignasala og leigumiðlara í síma 824-6703, olafur@jofur.is til að fá upplýsingar um eignina. Hafðu beint samband við starfsmenn Jöfurs: Bergsveinn Ólafsson  löggiltur fasteignasali - 863-5868 Helgi Már Karlsson  löggiltur fasteignasali - 897-7086 Ólafur Jóhannsson  löggiltur fasteignasali - 824-6703 Magnús Kristinsson  löggiltur fasteignasali - 861-0511 Kynntu þér fleiri eignir og þjónustu Jöfurs atvinnuhúsnæðis á  www.jofur.is",https://fasteignir.visir.is/property/630619
Ármúli 42,F4377524,0 kr.,0 kr.,0 kr.,,240 m²,3 herb.,,,,,Lyfta,,Tilboð,,atvinnuhúsnæði,108 Reykjavík,64.13354571,-21.87438725,"Jöfur atvinnuhúsnæði   s. 534-1020   kynnir:  Til leigu 240 fm. skrifstofuhúsnæði á 2. hæð í lyftuhúsi við Ármúla í Reykjavík. Laust STRAX. Húsnæðið skiptist í stórt opið vinnurými, fundarherbergi, kaffistofu og tvö salerni. Auðvelt er að bæta við skrifstofum. Tvö salerni eru innan rýmis. Leigjandi hefur aðgang að ljósleiðaratengingu og hleðslustöð fyrir bíla. Vsk húsnæði. Hafðu samband við Axel Ólafsson í síma 661-2507, axel@jofur.is eða Ólaf Jóhannsson, löggiltan fasteignasala og leigumiðlara í síma 824-6703, olafur@jofur.is til að fá upplýsingar um eignina. Hafðu beint samband við starfsmenn Jöfurs: Bergsveinn Ólafsson  löggiltur fasteignasali - 863-5868 Helgi Már Karlsson  löggiltur fasteignasali - 897-7086 Ólafur Jóhannsson  löggiltur fasteignasali - 824-6703 Magnús Kristinsson  löggiltur fasteignasali - 861-0511 Kynntu þér fleiri eignir og þjónustu Jöfurs atvinnuhúsnæðis á  www.jofur.is",https://fasteignir.visir.is/property/630626
Bíldshöfði 16,F2043211,0 kr.,0 kr.,0 kr.,,40 m²,0 herb.,,,,,,,Tilboð,,atvinnuhúsnæði,110 Reykjavík,,,"Atvinnueign kynnir:  Til leigu 40-500 fm skrifstofurými, að meðtalinni sameign, í skrifstofukjarna við Bíldshöfða í Reykjavík. Húsnæðið er á 3. hæð (hægt að ganga inn um inngang 2. hæð). Í sameign eru salerni, fundarherbergi og kaffiaðstaða. Hægt er að leigja til skemmri eða lengri tíma, farið er fram á þriggja mánaða tryggingu. Húsnæðið er í standsetningu en rýmin skilast fullbúin. Ekki virðisaukaskattur á leigu. Laust eftir samkomulagi. Nánari upplýsingar veitir:  Davíð Jens Guðlaugsson , löggiltur leigumiðlari í síma  846-7495  eða  david@atvinnueign.is Á vefsíðu okkar getur þú fundið fleiri eignir sem og kynnt þér þjónustu  Atvinnueignar ehf ,  www.atvinnueign.is -  Atvinnueignir eru okkar fag -",https://fasteignir.visir.is/property/630806
Suðurlandsbraut 4,F2012664,0 kr.,0 kr.,0 kr.,,400 m²,0 herb.,,,,,,,Tilboð,,atvinnuhúsnæði,108 Reykjavík,,,"Atvinnueign kynnir til leigu:  Um 400 fm verslunarhúsnæði við Suðurlandsbraut 4. Um þessar mundir er verið að umbreyta húsnæðinu í verslunarhúsnæði með gluggum sem snúa út að götu. Virðisaukaskattur leggst við leigu. Verður tilbúið með haustinu. Nánari upplýsingar veitir: Davíð Jens Guðlaugsson  löggiltur leigumiðlari í tölvupósti  david@atvinnueign.is  eða í síma  846-7495 . Á vefsíðu okkar getur þú fundið fleiri eignir sem og kynnt þér þjónustu  Atvinnueignar ehf ,  www.atvinnueign.is                 - Atvinnueignir eru okkar fag -",https://fasteignir.visir.is/property/630810
Vesturvör 29,F2240718,0 kr.,0 kr.,0 kr.,Byggt 2001,1970 m²,12 herb.,,,,,,,Tilboð,,atvinnuhúsnæði,200 Kópavogur,64.11414954,-21.94188357,"Croisette Real Estate Partner kynnir TIL LEIGU - Vesturvör 29 . Vandað iðnaðarhúsnæði á góðum stað í Kópavogi.  U.þ.b. 1970 fm sem skiptist annars vegar í 1670 fermetra vinnusal með góðri lofthæð og þremur innkeyrsluhurðum og hins vegar í 155 fm lager með innkeyrsluhurð. Í rýminu eru einnig gönguhurðir, kaffistofa og fjögur salerni. Mikil lofthæð er í húsinu og stór hlaupaköttur í lofti sem má semja um til kaups eða leigu.  Vandað hús og frábær staðsetning sem gæti meðal annars nýst fyrir heildsölu eða hátækniiðnað.  Nánari upplýsingar veitir:  Davíð Ólafsson, Sölustjóri - atvinnueignir, í síma 766-6633 , tölvupóstur david@croisette.is. Um skoðunar- og aðgæsluskyldu: Í húsaleigulögum nr. 36/1994 er kveðið á um heimild aðila kalla til skoðunaraðila til úttektar á húsnæðinu fyrir afhendingu. Croisette real estare partner bendir væntanlegum leigjendum á að kynna sér vel ástand fasteigna við skoðun og fyrir tilboðsgerð og ef þurfa þykir að leita til sérfræðinga um nánari ástandsskoðun. Í tilfelli atvinnuhúsnæðis er ríkari heimild aðila að semja sig frá lögum og gildir þá ákvæði leigusamnings ef til ágreinnings kemur.",https://fasteignir.visir.is/property/626329
Einhella 4,F5244885,0 kr.,0 kr.,0 kr.,,"106,6 m²",1 herb.,,,,,,,Tilboð,,atvinnuhúsnæði,221 Hafnarfjörður,64.03933809,-21.99579467,"Jöfur atvinnuhúsnæði   s. 534-1020   kynnir:  Til leigu nýtt 106,6 m² iðnaðar- og lagerhúsnæði á jarðhæð   hæð við Einhellu 4 í Hafnarfirði.  Húsnæðið er með 5 metra lofthæð og innkeyrsludyr eru 4 metra háar. Innan hvers rýmis er snyrting og tenging fyrir kaffistofuinnréttingu. Í húsinu eru 18 iðnaðarbil frá 83 -116 m². Möguleiki er á að leigja tvö eða fleiri bil saman og opna á milli rýma. Malbikuð bílastæði og verður hluti lóðar afgirtur með rafmagnshliði.  Við leiguverð bætist virðisaukaskattur. Hafðu samband við Axel Ólafsson í síma 661-2507, axel@jofur.is eða Ólaf Jóhannsson, löggiltan fasteignasala og leigumiðlara í síma 824-6703, olafur@jofur.is til að fá upplýsingar um eignina. Hafðu beint samband við starfsmenn Jöfurs: Bergsveinn Ólafsson  löggiltur fasteignasali - 863-5868 Helgi Már Karlsson  löggiltur fasteignasali - 897-7086 Ólafur Jóhannsson  löggiltur fasteignasali - 824-6703 Magnús Kristinsson  löggiltur fasteignasali - 861-0511 Kynntu þér fleiri eignir og þjónustu Jöfurs atvinnuhúsnæðis á  www.jofur.is",https://fasteignir.visir.is/property/626340
Vatnagarðar 16-18,F2015943,183.000.000 kr.,213.050.000 kr.,0 kr.,Byggt 1983,"1287,2 m²",0 herb.,,,,,,,Tilboð,,atvinnuhúsnæði,104 Reykjavík,64.14600881,-21.85724261,"Guðmundur Þór Júlíusson og Ástþór Reynir löggiltir fasteignasalar hjá RE/MAX fasteignasölu kynna til leigu: Skrifstofuhúsnæði á góðum stað við Vatnagarða. Möguleiki á að skipta húsnæðinu niður í smærri einingar. Næg bílastæði við húsið. Góð staðsettning miðsvæðis í Reykjavík og stutt í stofnbrautir. Um er að ræða alla efri hæð hússins sem er 1.287,2 fm, Húsnæðið hefur verið mikið endurbætt. ***Laust strax til afhendingar*** Bókið skoðun hjá Gumma Júl í síma 858-7410 eða með tölvupósti á netfangið gj@remax.is eða á Ástþór Reyni í síma 899-6753 eða með tölvupósti á netfangið arg@remax.is Um er að ræða alla efri hæðina (1.287,2 fm) í húsinu með sérinngangi beint frá götu. Allar nánari upplýsingar um eignina veitir:  Guðmundur Þór Júlíusson löggiltur fasteignasali í síma 858-7410 eða gj@remax.is Ástþór Reynir löggiltur fasteignasali í síma 899-6753 eða arg@remax.is Gjöld sem kaupandi þarf að standa straum af vegna kaupanna:  1. Stimpilgjald af kaupsamningi - 0,8%(einstaklingar) 1.6% (lögaðilar) af heildarfasteignamati.  2. Þinglýsingargjald af kaupsamningi, veðskuldabréfi, mögulegu veðleyfi o.fl. - kr. 2.700 af hverju skjali. 3. Lántökugjald lánastofnunar - almennt 45-75 þús.kr. Nánari upplýsingar á heimasíðu lánastofnana.  4. Umsýslugjald til fasteignasölu kr. 69.900 mvsk.",https://fasteignir.visir.is/property/626430
Suðurlandsbraut 4,F2012661,0 kr.,0 kr.,0 kr.,,260 m²,0 herb.,,,,,,,Tilboð,,atvinnuhúsnæði,108 Reykjavík,,,"Atvinnueign kynnir til leigu:  Um 260 fm lager- og geymsluhúsnæði við Suðurlandsbraut 4. Aðkoma er að rýminu innaf aðgangsstýrðu bílastæði. Hurðin er um 3,0 metrar á hæð. Virðisaukaskattur leggst við leigu. Laust samkvæmt samkomulagi. Nánari upplýsingar veitir: Davíð Jens Guðlaugsson  löggiltur leigumiðlari í tölvupósti  david@atvinnueign.is  eða í síma  846-7495 . Á vefsíðu okkar getur þú fundið fleiri eignir sem og kynnt þér þjónustu  Atvinnueignar ehf ,  www.atvinnueign.is                 - Atvinnueignir eru okkar fag -",https://fasteignir.visir.is/property/626502
Skútuvogur 6,,0 kr.,0 kr.,0 kr.,,116 m²,0 herb.,,,,,,,Tilboð,,atvinnuhúsnæði,104 Reykjavík,64.13871389,-21.84791894,"Jöfur atvinnuhúsnæði   s. 534-1020   kynnir:  Til leigu 116 m² þjónustu og lagerhúsnæði á jarðhæð við Skútuvog 6 í Reykjavík. Laust STRAX. Húsnæðið er með 2,8m lofthæð og  skiptist upp í 2 opin rými og 2 lokuð herbergi. Hægt að taka niður veggi. 2 hurðir, önnur fyrir vörubretti sem er 122cm breið. 3 fasa tenglar. Möguleiki er á  að leigja til viðbótar 70 m² skrifstofurými á 2. hæð í húsinu. Hafðu samband við Axel Ólafsson í síma 661-2507, axel@jofur.is eða Ólaf Jóhannsson, löggiltan fasteignasala og leigumiðlara í síma 824-6703, olafur@jofur.is til að fá upplýsingar um eignina. Hafðu beint samband við starfsmenn Jöfurs: Bergsveinn Ólafsson  löggiltur fasteignasali - 863-5868 Helgi Már Karlsson  löggiltur fasteignasali - 897-7086 Ólafur Jóhannsson  löggiltur fasteignasali - 824-6703 Magnús Kristinsson  löggiltur fasteignasali - 861-0511 Kynntu þér fleiri eignir og þjónustu Jöfurs atvinnuhúsnæðis á  www.jofur.is",https://fasteignir.visir.is/property/626520
Ármúli 13,F2307844,0 kr.,0 kr.,0 kr.,,446 m²,0 herb.,,,,,,,Tilboð,,atvinnuhúsnæði,108 Reykjavík,,,"Atvinnueign kynnir til leigu:  446 fm. hæð. Skrifstofurými á 3. hæð við Ármúla 13. Aðgangstýrð bílastæði bæði í bílakjallara og á úti plani. Laust strax. Allar nánari upplýsingar veita:  Halldór Már Sverrisson , löggiltur fasteignasali og leigumiðlari í síma  898-5599 eða  halldor@atvinnueign.is Ólafur Ingi Guðmundsson,  löggiltur fasteignasali og leigumiðlari í síma  847 7700 eða   olafur@atvinnueign.is Heimasíða ATVINNUEIGN fasteignamiðlunar.                 - Atvinnueignir eru okkar fag -",https://fasteignir.visir.is/property/626707
Vegmúli 2,F2306011,0 kr.,0 kr.,0 kr.,,435 m²,0 herb.,,,,,,,Tilboð,,atvinnuhúsnæði,108 Reykjavík,,,"Atvinnueign kynnir til leigu : 435 fm skrifstofurými á 3. hæð að Vegmúla 2 í 108 Reykjavík.  Um er að ræða fallegt skrifstofurými í lyftuhúsi á góðum stað í Reykjavík. Húsnæðið skiptist í nokkrar lokaðar skrifstofur, fundarherbergi, kaffistofu/eldhús og snyrtingu. Mögulegt er að skipta skrifstofurýminu upp í tvær minni einingar þ.e. 285 fm og 150 fm.  Við leiguverð bætist virðisaukaskattur .  Laust eftir samkomulagi.  Allar nánari upplýsingar veitir: Ólafur Ingi Guðmundsson , löggiltur fasteignasali og leigumiðlari, í síma  847-7700  eða  olafur@atvinnueign.is   Halldór Már Sverrisson, löggiltur fasteignasali í síma 898 5599 - eða  halldor@atvinnueign.is Á vefsíðu okkar getur þú fundið fleiri eignir sem og kynnt þér þjónustu Atvinnueigna ehf,  www.atvinnueign.is                  - Atvinnueignir eru okkar fag -",https://fasteignir.visir.is/property/564111
Bíldshöfði 16,F2043212,0 kr.,0 kr.,0 kr.,,400 m²,0 herb.,,,,,,,Tilboð,,atvinnuhúsnæði,110 Reykjavík,,,"Atvinnueign kynnir:  Til leigu 400 fm skrifstofurými, að meðtalinni sameign, í skrifstofukjarna við Bíldshöfða í Reykjavík. Húsnæðið er á 3. hæð (hægt að ganga inn um inngang 2. hæð). Í sameign eru salerni, fundarherbergi og kaffiaðstaða. Hægt er að leigja til skemmri eða lengri tíma, farið er fram á þriggja mánaða tryggingu. Húsnæðið er í standsetningu en rýmin skilast fullbúin. Ekki virðisaukaskattur á leigu. Laust eftir samkomulagi. Nánari upplýsingar veitir:  Davíð Jens Guðlaugsson , löggiltur leigumiðlari í síma  846-7495  eða  david@atvinnueign.is Á vefsíðu okkar getur þú fundið fleiri eignir sem og kynnt þér þjónustu  Atvinnueignar ehf ,  www.atvinnueign.is -  Atvinnueignir eru okkar fag -",https://fasteignir.visir.is/property/626959
Smáratorg 3,,0 kr.,0 kr.,0 kr.,Byggt 2008,170 m²,0 herb.,,,Sameiginl. inngangur,,Lyfta,,Tilboð,,atvinnuhúsnæði,201 Kópavogur,,,"Jöfur atvinnuhúsnæði   s. 534-1020   kynnir:  Til leigu um 170 m² skrifstofuhúsnæði á 12. hæð við Smáratorg 3 í Kópavogi. Laust strax. Húsnæðið skiptist í 4 skrifstofur, eitt fundarherbergi, móttöku/opið rými. Kaffiaðstaða og salerni eru í sameign.  Turninn býður upp á marga góða kosti bæði fyrir fyrirtæki og einstaklinga. Móttaka er á annarri hæð með þeim kostum sem því fylgir og þá er húsvörður í húsinu. Fjöldi bílastæða sem og rafbílastæði bæði í bílastæðakjallara og á stórum bílastæðaplönum úti allt í kringum húsið. Þá er hjólageymsla í byggingunni ásamt sameiginlegu sturtu- og búningsaðstöðu. Hafðu samband við Axel Ólafsson í síma 661-2507, axel@jofur.is eða Ólaf Jóhannsson, löggiltan fasteignasala og leigumiðlara í síma 824-6703, olafur@jofur.is til að fá upplýsingar um eignina. Hafðu beint samband við starfsmenn Jöfurs: Bergsveinn Ólafsson  löggiltur fasteignasali - 863-5868 Helgi Már Karlsson  löggiltur fasteignasali - 897-7086 Ólafur Jóhannsson  löggiltur fasteignasali - 824-6703 Magnús Kristinsson  löggiltur fasteignasali - 861-0511 Kynntu þér fleiri eignir og þjónustu Jöfurs atvinnuhúsnæðis á  www.jofur.is",https://fasteignir.visir.is/property/627150
Stórhöfði 25,,0 kr.,0 kr.,0 kr.,,325 m²,0 herb.,,,,,,,Tilboð,,atvinnuhúsnæði,110 Reykjavík,64.12822712,-21.80561577,"Jöfur atvinnuhúsnæði   s. 534-1020   kynnir:  Til leigu 325 fm. lager- og iðnaðarhúsnæði  við Stórhöfða í Reykjavík. Losnar fljótlega. 325 fm lager- og iðnaðarhúsnæði með góðri iðnaðarhurð. Umrætt leigurými er staðsett bakatil í byggingunni. Gluggalaust og án wc, aðgengi er að Wc og sturtu í sameign. Við leiguverð bætist virðisaukaskattur.  Húsnæðið hentar ekki bílaviðgerðum eða bílaþvotti. Hafðu samband við Axel Ólafsson í síma 661-2507, axel@jofur.is eða Ólaf Jóhannsson, löggiltan fasteignasala og leigumiðlara í síma 824-6703, olafur@jofur.is til að fá upplýsingar um eignina.   Hafðu beint samband við starfsmenn Jöfurs: Bergsveinn Ólafsson  löggiltur fasteignasali - 863-5868 Helgi Már Karlsson  löggiltur fasteignasali - 897-7086 Ólafur Jóhannsson  löggiltur fasteignasali - 824-6703 Magnús Kristinsson  löggiltur fasteignasali - 861-0511 Kynntu þér fleiri eignir og þjónustu Jöfurs atvinnuhúsnæðis á  www.jofur.is",https://fasteignir.visir.is/property/627151
Suðurlandsbraut 10,F5003691,0 kr.,0 kr.,0 kr.,Byggt 2018,80 m²,0 herb.,,,Sameiginl. inngangur,,,,Tilboð,,atvinnuhúsnæði,108 Reykjavík,64.13953532,-21.88232057,"Jöfur atvinnuhúsnæði   s. 534-1020   kynnir:  Til leigu 80 m² verslunar- og þjónusturými á jarðhæð við Suðurlandsbraut 10. Laus samkvæmt samkomulagi. Fljótlega losnar tæplega 80 m² verslunarrými á jarðhæð byggingar á þessum vinsæla stað. Stórir gluggar og mikill sýnileiki frá götu. Merkt nr. 01-03 á grunnmynd. Hafðu samband við Axel Ólafsson í síma 661-2507, axel@jofur.is eða Ólaf Jóhannsson, löggiltan fasteignasala og leigumiðlara í síma 824-6703, olafur@jofur.is til að fá upplýsingar um eignina.   Hafðu beint samband við starfsmenn Jöfurs: Bergsveinn Ólafsson  löggiltur fasteignasali - 863-5868 Helgi Már Karlsson  löggiltur fasteignasali - 897-7086 Ólafur Jóhannsson  löggiltur fasteignasali - 824-6703 Magnús Kristinsson  löggiltur fasteignasali - 861-0511 Kynntu þér fleiri eignir og þjónustu Jöfurs atvinnuhúsnæðis á  www.jofur.is",https://fasteignir.visir.is/property/596442
Suðurlandsbraut 32,F5135957,0 kr.,0 kr.,0 kr.,,30 m²,0 herb.,,,Sameiginl. inngangur,,,,Tilboð,,atvinnuhúsnæði,108 Reykjavík,64.13547961,-21.8739375,"Jöfur atvinnuhúsnæði   s. 534-1020   kynnir:  Til leigu 30-34 m² skrifstofurými við Suðurlandsbraut 32. Laust STRAX. Laust til leigu 30 fm skrifstofa merkt nr. 12 á grunnmynd þriðju hæðar. Á fjórðu hæð byggingar losnar svo fljótlega 34 fm skrifstofa, merkt nr. 1 á grunnmynd þeirrar hæðar. Sameiginlegur kaffikrókur og salerni eru á öllum hæðum. Hafðu samband við Axel Ólafsson í síma 661-2507, axel@jofur.is eða Ólaf Jóhannsson, löggiltan fasteignasala og leigumiðlara í síma 824-6703, olafur@jofur.is til að fá upplýsingar um eignina.   Hafðu beint samband við starfsmenn Jöfurs: Bergsveinn Ólafsson  löggiltur fasteignasali - 863-5868 Helgi Már Karlsson  löggiltur fasteignasali - 897-7086 Ólafur Jóhannsson  löggiltur fasteignasali - 824-6703 Magnús Kristinsson  löggiltur fasteignasali - 861-0511 Kynntu þér fleiri eignir og þjónustu Jöfurs atvinnuhúsnæðis á  www.jofur.is",https://fasteignir.visir.is/property/627154
Vesturgata 2a,F1053249,0 kr.,0 kr.,0 kr.,,201 m²,0 herb.,,,,,,,Tilboð,,atvinnuhúsnæði,101 Reykjavík,,,"Jöfur atvinnuhúsnæði   s. 534-1020   kynnir:  Til leigu 201 fm. skrifstofuhúsnæði  á 2. hæð í endurbyggðu sögufrægu húsi við Vesturgötu í Reykjavík. Afhending samkomulag. Skrifstofuhúsnæði til leigu á 2. hæð í sögufrægu glæsilega endurbyggðu húsi í miðbæ Reykjavíkur. Hæðin skiptist í móttöku, opið vinnurými, rúmgott fundarherbergi, eldhús, tvær snyrtingar auk lítillar geymslu sem er á hæðinni. Aðgengi að hæðinni er mjög gott, en nýleg viðbygging við húsið hýsir rúmgóðan stiga og lyftu sem opnast beint inn í rýmið.  Hafðu samband við Axel Ólafsson í síma 661-2507, axel@jofur.is eða Ólaf Jóhannsson, löggiltan fasteignasala og leigumiðlara í síma 824-6703, olafur@jofur.is til að fá upplýsingar um eignina. Hafðu beint samband við starfsmenn Jöfurs: Bergsveinn Ólafsson  löggiltur fasteignasali - 863-5868 Helgi Már Karlsson  löggiltur fasteignasali - 897-7086 Ólafur Jóhannsson  löggiltur fasteignasali - 824-6703 Magnús Kristinsson  löggiltur fasteignasali - 861-0511 Kynntu þér fleiri eignir og þjónustu Jöfurs atvinnuhúsnæðis á  www.jofur.is",https://fasteignir.visir.is/property/627156
Vesturvör 11,F5251818,0 kr.,0 kr.,0 kr.,,"152,4 m²",0 herb.,,,,,,,Tilboð,,atvinnuhúsnæði,200 Kópavogur,64.11413776,-21.92793761,"Jöfur atvinnuhúsnæði   s. 534-1020   kynnir:  Til Leigu 152,4 fm lagerhúsnæði við Vesturvör 11 í Kópavogi. Laust strax. Atvinnurými með 3,6 m. lofthæð og 2,6 m. háar innkeyrsludyr. Hentar mjög vel sem geymsla/lager/lítil heildsala eða sambærilegt. Húsnæðið verður lagað að þörfum nýs leiguaðila eins og kostur er. Salerni er ekki til staðar, en möguleiki er á að koma því upp. Við leiguverð bætist virðisaukaskattur. Hafðu samband við Axel Ólafsson í síma 661-2507, axel@jofur.is eða Ólaf Jóhannsson, löggiltan fasteignasala og leigumiðlara í síma 824-6703, olafur@jofur.is til að fá upplýsingar um eignina.   Hafðu beint samband við starfsmenn Jöfurs: Bergsveinn Ólafsson  löggiltur fasteignasali - 863-5868 Helgi Már Karlsson  löggiltur fasteignasali - 897-7086 Ólafur Jóhannsson  löggiltur fasteignasali - 824-6703 Magnús Kristinsson  löggiltur fasteignasali - 861-0511 Kynntu þér fleiri eignir og þjónustu Jöfurs atvinnuhúsnæðis á  www.jofur.is",https://fasteignir.visir.is/property/627157
Þönglabakki 6,F5261423,0 kr.,0 kr.,0 kr.,,"95,5 m²",0 herb.,,,,,,,Tilboð,,atvinnuhúsnæði,112 Reykjavík,64.10912475,-21.84241997,"Jöfur atvinnuhúsnæði   s. 534-1020   kynnir:  Til leigu 95,5 m² lagerhúsnæði undir verslunarmiðstöðinni í Mjódd. Laust strax. Húsnæðið er mest eitt opið rými. Lofhæð er um 4,75 m. og hæð á innkeyrsludyr 3,6 m. Niðurfall er við innkeyrsludyr. Kaffistofa og salerni á millilofti. Aðgengi að rýminu er um sameign í kjallara.  Ekki VSK húsnæði. Hafðu samband við Axel Ólafsson í síma 661-2507, axel@jofur.is eða Ólaf Jóhannsson, löggiltan fasteignasala og leigumiðlara í síma 824-6703, olafur@jofur.is til að fá upplýsingar um eignina. Hafðu beint samband við starfsmenn Jöfurs: Bergsveinn Ólafsson  löggiltur fasteignasali - 863-5868 Helgi Már Karlsson  löggiltur fasteignasali - 897-7086 Ólafur Jóhannsson  löggiltur fasteignasali - 824-6703 Magnús Kristinsson  löggiltur fasteignasali - 861-0511 Kynntu þér fleiri eignir og þjónustu Jöfurs atvinnuhúsnæðis á  www.jofur.is",https://fasteignir.visir.is/property/627158
